"TV18 Broadcast Limited",GBN,IBN18,2008-05-15
"Reliance Infrastructure Limited",REL,RELINFRA,2008-05-16
"Anik Industries Limited",MPGLYCEM,ANIKINDS,2008-05-21
"Value Industries Limited",VDOCONAPPL,VALUEIND,2008-05-22
"SORIL Infra Resources Limited",PIRAMYDRET,IBRETAILS,2008-06-09
"Piramal Enterprises Limited",NICOLASPIR,PIRHEALTH,2008-06-19
"PVP Ventures Limited",SOFTSOLINT,PVP,2008-06-23
"Abhishek Corporation Limited",AML,ABHISHEK,2008-06-26
"GE T&D India Limited",GECALSTHOM,AREVA,2008-06-30
"Arvind Limited",ARVINDMILL,ARVIND,2008-07-07
"GE T&D India Limited",AREVA,AREVAT&D,2008-07-14
"INEOS Styrolution India Limited",LANABS,INEABS,2008-07-21
"Birla Corporation Limited",BIRLAJUTE,BIRLACORPN,2008-07-28
"Oracle Financial Services Software Limited",I-FLEX,OFSS,2008-09-18
"Golden Tobacco Limited",GTCIND,GOLDENTOBC,2008-09-29
"Geodesic Limited",GEOINFO,GEODESIC,2008-10-06
"Kingfisher Airlines Limited",AIRDECCAN,KFA,2008-10-06
"Indbank Merchant Banking Services Limited",INDBANKMER,INDBANK,2008-10-08
"Kalyani Steels Limited",KALYANISTL,KALSTEELS,2008-10-21
"Jindal Stainless Limited",JSTAINLESS,JSL,2008-10-23
"Karuturi Global Limited",KNL,KGL,2008-11-20
"Delta Corp Limited",ARROWGROUP,DELTACORP,2008-12-11
"Delta Manufacturing Limited",GPELECT,DELTAMAGNT,2008-12-15
"Elgi Rubber Company Limited",ELGITYRE,ELGIRUBBER,2008-12-22
"Hinduja Global Solutions Limited",HTMTGLOBAL,HGSL,2009-01-23
"Fresenius Kabi Oncology Limited",DABURPHARM,FKONCO,2009-02-19
"Noesis Industries Limited",MEDIA,MVLIND,2009-02-20
"Aditya Birla Chemicals (India) Limited",BCCL,ABCIL,2009-03-09
"Phoenix Lamps Limited",PHOENIXLMP,HALONIX,2009-03-09
"Solar Industries India Limited",SOLAREX,SOLARINDS,2009-04-13
"Datamatics Global Services Limited",DATATECH,DATAMATICS,2009-04-20
"HSIL Limited",HINDSANIT,HSIL,2009-04-27
"Insecticides (India) Limited",IILTD,INSECTICID,2009-05-11
"HeidelbergCement India Limited",MYSORECEM,HEIDELBERG,2009-05-15
"Geojit Financial Services Limited",GEOJIT,GEOJITBNPP,2009-06-05
"Ajmera Realty & Infra India Limited",SHREE,AJMERA,2009-06-23
"Hubtown Limited",AKRUTI,ACKRUTI,2009-06-30
"XL Energy Limited",XLTL,XLTELENE,2009-07-22
"Smartlink Holdings Limited",D-LINK,SMARTLINK,2009-07-29
"Savita Oil Technologies Limited",SAVITACHEM,SOTL,2009-08-24
"HSBC InvestDirect (India) Limited",INVSTSMART,HINVDIR,2009-09-07
"Aditya Birla Money Limited",APOLLOSIND,BIRLAMONEY,2009-09-09
"MPS Limited",MACMILLAN,MPSLTD,2009-09-11
"Coromandel International Limited",COROMNFERT,COROMANDEL,2009-10-12
"Reliance MediaWorks Limited",ADLABSFILM,RELMEDIA,2009-10-20
"SORIL Infra Resources Limited",IBRETAILS,STOREONE,2009-10-26
"Ausom Enterprise Limited",COREEMBLG,AUSOMENT,2009-12-01
"Oriental Trimex Limited",OTL,ORIENTALTL,2009-12-17
"GSL Nova Petrochemicals Limited",NOVA,GSLNOVA,2009-12-18
"Usha Martin Education & Solutions Limited",UMITL,UMESL,2010-01-07
"Jaiprakash Power Ventures Limited",JPHYDRO,JPPOWER,2010-01-08
"Surana Telecom and Power Limited",SURANATELE,SURANAT&P,2010-02-08
"GeeCee Ventures Limited",GWALCHEM,GEECEE,2010-03-05
"Kirloskar Electric Company Limited",KIRELECTRI,KECL,2010-03-09
"Zandu Realty Limited",ZANDUPHARM,ZANDUREALT,2010-03-10
"IVRCL Assets & Holdings Limited",IVRPRIME,IVRCLAH,2010-04-13
"IL&FS Transportation Networks Limited",ILFSTRANS,IL&FSTRANS,2010-04-16
"Ansal Properties & Infrastructure Limited",ANSALINFRA,ANSALAPI,2010-05-14
"SPML Infra Limited",SUBHASPROJ,SPMLINFRA,2010-05-14
"Welspun Corp Limited",WELGUJ,WELCORP,2010-05-17
"Akzo Nobel India Limited",ICI,AKZOINDIA,2010-05-27
"Metkore Alloys & Industries Limited",GMRFER,CRONIMET,2010-06-02
"AGC Networks Limited",AVAYAGCL,AGCNET,2010-06-08
"ANG Industries Limited",ANGAUTO,ANGIND,2010-06-16
"Cholamandalam Investment and Finance Company Limited",CHOLADBS,CHOLAFIN,2010-06-22
"Sezal Glass Limited",SEJALGLASS,SEZALGLASS,2010-07-14
"SREI Infrastructure Finance Limited",SREINTFIN,SREINFRA,2010-07-21
